Date,Close,Open,High,Low
2017.03.20,1036.23,1012.78,1052.99,1009.73
2017.03.21,1111.97,1036.23,1117.36,1034.82
2017.03.22,1032.85,1111.97,1112.25,988.00
2017.03.23,1029.68,1032.85,1054.39,1010.69
2017.03.24,928.08,1029.68,1031.97,920.02
2017.03.25,955.86,928.08,963.32,891.33
2017.03.26,958.21,955.89,996.99,937.52
2017.03.27,1038.05,958.80,1042.95,952.19
2017.03.28,1042.94,1038.19,1068.00,1014.55
2017.03.29,1035.95,1042.90,1058.02,1008.16
2017.03.30,1030.99,1035.64,1050.00,1018.60
2017.03.31,1070.31,1031.01,1080.57,1029.90
2017.04.01,1083.95,1070.58,1096.99,1061.88
2017.04.02,1077.27,1083.95,1099.47,1066.49
2017.04.03,1144.78,1076.55,1151.99,1076.00
2017.04.04,1142.08,1144.79,1162.44,1119.68
2017.04.05,1134.59,1142.28,1144.86,1111.00
2017.04.06,1190.72,1134.41,1201.00,1133.87
2017.04.07,1185.13,1190.72,1196.57,1175.80
2017.04.08,1184.04,1190.21,1197.10,1166.66
2017.04.09,1206.19,1184.03,1216.49,1173.98
2017.04.10,1208.31,1205.20,1217.76,1195.00
2017.04.11,1218.66,1208.31,1227.97,1198.03
2017.04.12,1211.19,1218.66,1223.85,1208.00
2017.04.13,1171.46,1211.19,1219.45,1141.00
2017.04.14,1170.15,1172.04,1192.18,1142.25
2017.04.15,1171.76,1169.53,1192.00,1165.00
2017.04.16,1161.02,1171.00,1178.92,1150.00
2017.04.17,1176.45,1161.02,1192.00,1160.78
2017.04.18,1202.34,1176.55,1209.98,1175.55
2017.04.19,1202.88,1202.34,1209.95,1190.00
2017.04.20,1234.62,1202.93,1243.01,1201.66
2017.04.21,1243.29,1234.21,1252.27,1231.52
2017.04.22,1231.85,1243.60,1245.99,1199.00
2017.04.23,1240.83,1231.85,1247.77,1223.40
2017.04.24,1253.16,1240.84,1253.97,1234.00
2017.04.25,1269.02,1253.17,1279.96,1251.06
2017.04.26,1286.65,1269.02,1315.01,1268.39
2017.04.27,1330.92,1286.65,1341.80,1284.71
2017.04.28,1330.97,1330.92,1347.00,1298.50
2017.04.29,1333.00,1330.70,1342.37,1316.00
2017.04.30,1348.88,1333.00,1355.75,1315.18
2017.05.01,1390.86,1348.88,1424.98,1341.15
2017.05.02,1447.55,1390.86,1479.99,1388.00
2017.05.03,1503.22,1447.55,1515.94,1431.02
2017.05.04,1537.28,1503.24,1623.00,1444.94
2017.05.05,1515.03,1537.36,1608.69,1495.00
2017.05.06,1554.04,1515.08,1578.83,1505.00
2017.05.07,1554.00,1554.04,1564.10,1525.00
2017.05.08,1648.03,1554.01,1652.26,1554.01
2017.05.09,1752.00,1647.94,1760.37,1616.04
2017.05.10,1772.57,1718.14,1793.98,1682.00
2017.05.11,1829.00,1772.59,1892.00,1745.00
2017.05.12,1687.54,1829.00,1831.55,1650.00
2017.05.13,1775.99,1687.55,1784.25,1601.46
2017.05.14,1779.01,1775.48,1814.99,1753.00
2017.05.15,1704.06,1782.30,1783.42,1682.56
2017.05.16,1700.09,1702.75,1749.57,1641.01
2017.05.17,1775.87,1700.01,1839.00,1670.01
2017.05.18,1878.28,1775.95,1881.79,1766.33
2017.05.19,1957.04,1878.50,1969.80,1874.31
2017.05.20,2013.99,1957.42,2020.94,1914.03
2017.05.21,2020.00,2013.99,2062.35,1961.52
2017.05.22,2088.70,2017.55,2229.50,2001.00
2017.05.23,2264.29,2088.72,2272.00,2088.49
2017.05.24,2416.59,2263.16,2480.06,2263.16
2017.05.25,2277.03,2416.59,2759.45,2221.00
2017.05.26,2279.82,2277.00,2598.79,2060.00
2017.05.27,2041.44,2279.82,2339.13,1851.57
2017.05.28,2171.58,2041.49,2313.89,2041.49
2017.05.29,2290.18,2172.53,2350.00,2109.33
2017.05.30,2203.58,2290.18,2339.05,2160.00
2017.05.31,2298.01,2203.59,2333.99,2154.84
2017.06.01,2405.76,2298.01,2456.18,2296.54
2017.06.02,2487.27,2405.76,2488.99,2370.05
2017.06.03,2537.31,2487.28,2584.00,2445.00
2017.06.04,2529.74,2537.32,2568.00,2463.32
2017.06.05,2697.97,2529.74,2698.99,2523.41
2017.06.06,2875.71,2697.97,2932.98,2690.56
2017.06.07,2854.77,2875.71,2893.15,2801.72
2017.06.08,2805.46,2680.18,2814.99,2613.13
2017.06.09,2817.99,2805.46,2868.23,2780.60
2017.06.10,2897.20,2817.86,2911.12,2799.83
2017.06.11,2954.21,2899.00,2967.00,2861.53
2017.06.12,2658.22,2954.23,2979.98,2480.04
2017.06.13,2703.02,2656.97,2783.00,2637.96
2017.06.14,2450.00,2703.02,2800.00,2320.68
2017.06.15,2421.21,2450.00,2514.99,2120.00
2017.06.16,2483.01,2421.21,2535.80,2307.57
2017.06.17,2630.05,2483.00,2674.39,2420.11
2017.06.18,2512.90,2630.06,2664.98,2460.62
2017.06.19,2598.00,2512.94,2598.00,2480.96
2017.06.20,2733.95,2598.00,2781.13,2581.00
2017.06.21,2657.00,2734.01,2788.97,2611.00
2017.06.22,2705.62,2657.04,2737.98,2594.61
2017.06.23,2680.96,2709.46,2744.35,2659.00
2017.06.24,2556.33,2681.12,2724.95,2513.20
2017.06.25,2502.24,2556.88,2634.60,2432.00
2017.06.26,2410.83,2502.26,2550.00,2316.84
2017.06.27,2561.86,2410.78,2564.00,2291.00
2017.06.28,2550.64,2560.45,2592.97,2468.00
2017.06.29,2538.00,2550.75,2594.19,2502.20
2017.06.30,2530.85,2538.35,2554.95,2502.99
2017.07.01,2413.87,2458.00,2515.30,2390.02
2017.07.02,2504.39,2413.88,2528.60,2374.10
2017.07.03,2540.01,2504.56,2592.99,2472.64
2017.07.04,2594.52,2540.01,2639.00,2540.00
2017.07.05,2595.92,2594.51,2622.00,2530.10
2017.07.06,2599.39,2598.31,2613.51,2523.00
2017.07.07,2501.46,2600.11,2604.98,2475.00
2017.07.08,2549.39,2501.46,2555.00,2462.00
2017.07.09,2504.03,2550.07,2564.14,2500.50
2017.07.10,2323.45,2504.01,2527.80,2261.85
2017.07.11,2301.46,2323.45,2398.00,2242.50
2017.07.12,2385.37,2301.50,2406.97,2239.54
2017.07.13,2336.12,2385.38,2425.00,2312.87
2017.07.14,2209.43,2338.75,2357.00,2140.00
2017.07.15,1970.51,2209.43,2219.55,1966.42
2017.07.16,1917.61,1970.51,2042.99,1830.00
2017.07.17,2226.00,1917.64,2226.52,1910.45
2017.07.18,2303.66,2226.00,2391.51,2164.00
2017.07.19,2265.02,2303.71,2402.36,2223.00
2017.07.20,2702.24,2265.48,2702.24,2265.48
2017.07.21,2667.01,2875.03,2880.56,2611.39
2017.07.22,2824.80,2667.01,2880.70,2644.50
2017.07.23,2749.01,2824.81,2854.98,2640.16
2017.07.24,2754.53,2749.01,2799.99,2701.00
2017.07.25,2556.99,2754.53,2775.05,2450.00
2017.07.26,2524.94,2563.96,2607.61,2400.00
2017.07.27,2664.67,2524.90,2692.00,2508.39
2017.07.28,2777.01,2660.77,2823.97,2655.19
2017.07.29,2666.61,2777.03,2785.65,2631.78
2017.07.30,2740.01,2666.62,2765.35,2569.69
2017.07.31,2851.87,2740.05,2889.50,2680.00
2017.08.01,2731.00,2851.86,2928.96,2615.00
2017.08.02,2703.48,2731.00,2760.00,2650.00
2017.08.03,2790.01,2703.51,2806.89,2698.73
2017.08.04,2851.01,2790.00,2877.52,2765.42
2017.08.05,3251.29,2851.01,3335.61,2848.10
2017.08.06,3216.74,3251.61,3296.51,3146.16
2017.08.07,3383.04,3216.78,3427.52,3186.00
2017.08.08,3408.46,3383.06,3488.92,3310.00
2017.08.09,3342.99,3408.46,3422.00,3182.05
2017.08.10,3410.00,3342.99,3447.98,3311.17
2017.08.11,3638.02,3410.00,3702.90,3390.09
2017.08.12,3855.38,3638.03,3933.00,3586.97
2017.08.13,4046.60,3855.38,4190.00,3841.71
2017.08.14,4079.36,4050.30,4085.09,4037.40
2017.08.15,4152.01,4308.32,4399.98,3802.02
2017.08.16,4361.93,4152.00,4378.97,3926.00
2017.08.17,4260.38,4361.94,4475.02,4168.51
2017.08.18,4099.67,4260.45,4365.72,3964.96
2017.08.19,4091.99,4098.47,4187.99,3901.50
2017.08.20,4040.00,4091.99,4124.00,4000.00
2017.08.21,3987.52,4040.00,4080.00,3949.78
2017.08.22,4078.00,3987.51,4137.84,3600.00
2017.08.23,4120.97,4077.99,4248.70,4051.88
2017.08.24,4299.96,4120.97,4349.99,4082.57
2017.08.25,4348.16,4299.96,4449.88,4270.01
2017.08.26,4329.70,4348.16,4369.77,4233.60
2017.08.27,4329.90,4329.71,4391.01,4290.32
2017.08.28,4379.98,4329.90,4399.00,4169.00
2017.08.29,4576.67,4379.99,4647.50,4335.05
2017.08.30,4566.77,4576.68,4642.19,4478.02
2017.08.31,4724.87,4566.78,4765.20,4566.66
2017.09.01,4921.70,4724.96,4930.00,4671.09
2017.09.02,4597.70,4921.70,4979.89,4488.50
2017.09.03,4594.23,4599.89,4699.99,4385.00
2017.09.04,4474.59,4594.24,4610.66,4466.05
2017.09.05,4388.90,4277.00,4473.52,4001.93
2017.09.06,4592.37,4388.90,4648.73,4356.42
2017.09.07,4606.62,4592.43,4674.00,4475.00
2017.09.08,4312.01,4606.62,4679.95,4125.99
2017.09.09,4307.76,4312.01,4379.77,4164.00
2017.09.10,4214.69,4307.79,4317.13,4010.00
2017.09.11,4198.17,4218.46,4349.00,4092.40
2017.09.12,4162.02,4198.77,4376.00,4080.00
2017.09.13,3850.88,4162.02,4171.91,3720.01
2017.09.14,3227.79,3850.90,3921.74,3210.00
2017.09.15,3696.30,3227.79,3819.96,2972.00
2017.09.16,3669.06,3699.89,3872.88,3502.50
2017.09.17,3656.59,3669.06,3770.73,3463.00
2017.09.18,4006.00,3738.89,4099.99,3646.23
2017.09.19,3899.00,4002.37,4122.52,3847.65
2017.09.20,3955.41,3898.03,4049.00,3820.05
2017.09.21,3649.00,3954.65,3965.71,3571.00
2017.09.22,3610.01,3649.00,3761.84,3504.51
2017.09.25,3926.46,3673.04,3966.81,3635.50
2017.09.26,3906.39,3930.26,3968.96,3850.61
2017.09.27,4151.00,3906.39,4186.03,3869.50
2017.09.28,4166.30,4151.00,4269.90,4123.50
2017.09.29,4176.37,4166.30,4226.22,4015.32
2017.10.02,4385.01,4271.41,4454.28,4261.94
2017.10.03,4282.67,4385.00,4425.00,4218.00
2017.10.04,4195.38,4282.69,4342.88,4170.07
2017.10.05,4350.14,4198.08,4356.04,4137.66
2017.10.06,4330.03,4350.14,4422.00,4278.40
2017.10.09,4827.65,4549.69,4861.30,4525.92
2017.10.10,4861.46,4812.21,4909.96,4713.81
2017.10.11,4824.00,4874.99,4874.99,4700.00
2017.10.12,5300.11,4824.01,5387.00,4787.08
2017.10.13,5603.90,5300.14,5864.73,5265.07
2017.10.16,5675.01,5495.00,5750.00,5455.05
2017.10.17,5566.09,5675.01,5805.00,5506.78
2017.10.18,5508.10,5573.09,5600.20,5101.36
2017.10.19,5696.77,5508.12,5734.99,5482.41
2017.10.20,5955.61,5696.54,6072.73,5554.32
2017.10.23,5907.12,5981.91,6056.79,5617.75
